Epoch,Train Loss,Val Loss,Val Dice,LR,Time(s)
1,1.6852,1.6834,0.1676,0.0001,16.31
2,1.6206,1.6187,0.1882,0.0001,16.26
3,1.5858,1.5948,0.1930,0.0001,16.47
4,1.5786,1.6150,0.1923,0.0001,16.59
5,1.5721,1.5736,0.1973,0.0001,16.87
6,1.5544,1.5684,0.1963,0.0001,17.16
7,1.5516,1.5607,0.1999,0.0001,17.27
8,1.5472,1.5561,0.2016,0.0001,17.46
9,1.5420,1.5464,0.2015,0.0001,17.62
10,1.5324,1.5421,0.2016,0.0001,17.71
11,1.5326,1.5450,0.2028,0.0001,17.78
12,1.5224,1.5396,0.2034,0.0001,17.92
13,1.5128,1.5350,0.2034,0.0001,17.99
14,1.5168,1.5310,0.2038,0.0001,18.07
15,1.5069,1.5302,0.2059,0.0001,17.99
16,1.5054,1.5199,0.2047,0.0001,18.11
17,1.5047,1.5219,0.2048,0.0001,18.10
18,1.4981,1.5143,0.2068,0.0001,18.19
19,1.4989,1.5119,0.2071,0.0001,18.15
20,1.4968,1.5092,0.2057,0.0001,18.47
21,1.4871,1.5088,0.2060,0.0001,18.24
22,1.4816,1.5059,0.2079,0.0001,18.46
23,1.4891,1.5029,0.2059,0.0001,18.52
24,1.4809,1.5004,0.2067,0.0001,18.67
25,1.4819,1.4986,0.2066,0.0001,18.20
26,1.4731,1.4993,0.2083,0.0001,17.90
27,1.4777,1.4959,0.2083,0.0001,18.23
28,1.4800,1.4925,0.2070,0.0001,18.25
29,1.4803,1.4977,0.2108,0.0001,18.11
30,1.4663,1.4892,0.2077,0.0001,18.10
31,1.4677,1.4904,0.2098,0.0001,17.98
32,1.4648,1.4882,0.2086,0.0001,18.04
33,1.4674,1.4862,0.2083,0.0001,18.02
34,1.4673,1.4868,0.2096,0.0001,18.06
35,1.4647,1.4838,0.2102,0.0001,18.16
36,1.4625,1.4834,0.2084,0.0001,18.30
37,1.4657,1.4832,0.2101,0.0001,18.12
38,1.4608,1.4830,0.2072,0.0001,18.08
39,1.4644,1.4809,0.2089,0.0001,18.05
40,1.4654,1.4830,0.2123,0.0001,18.14
41,1.4561,1.4801,0.2088,0.0001,18.28
42,1.4523,1.4785,0.2098,0.0001,18.15
43,1.4647,1.4767,0.2099,0.0001,18.19
44,1.4564,1.4778,0.2114,0.0001,17.98
45,1.4590,1.4759,0.2121,0.0001,18.08
46,1.4525,1.4766,0.2121,0.0001,18.14
47,1.4575,1.4742,0.2124,0.0001,18.23
48,1.4529,1.4743,0.2118,0.0001,18.13
49,1.4512,1.4736,0.2113,0.0001,18.05
50,1.4518,1.4721,0.2114,0.0001,18.09
51,1.4480,1.4724,0.2106,0.0001,18.16
52,1.4569,1.4728,0.2118,0.0001,18.21
53,1.4488,1.4723,0.2118,0.0001,18.13
54,1.4476,1.4717,0.2127,0.0001,18.23
55,1.4454,1.4718,0.2112,0.0001,18.34
56,1.4447,1.4703,0.2116,0.0001,18.12
57,1.4512,1.4699,0.2118,0.0001,18.25
58,1.4489,1.4696,0.2112,0.0001,18.05
59,1.4517,1.4702,0.2110,0.0001,18.12
60,1.4554,1.4703,0.2101,0.0001,18.21
61,1.4536,1.4690,0.2135,0.0001,18.20
62,1.4449,1.4688,0.2116,0.0001,18.20
63,1.4474,1.4682,0.2124,0.0001,18.27
64,1.4445,1.4681,0.2128,0.0001,18.21
65,1.4417,1.4682,0.2112,0.0001,18.23
66,1.4427,1.4678,0.2121,0.0001,18.24
67,1.4485,1.4670,0.2120,0.0001,18.31
68,1.4481,1.4668,0.2108,0.0001,18.30
69,1.4393,1.4674,0.2124,0.0001,18.29
70,1.4443,1.4667,0.2128,0.0001,18.22
71,1.4441,1.4665,0.2116,0.0001,18.15
72,1.4395,1.4659,0.2136,0.0001,18.25
73,1.4440,1.4671,0.2138,0.0001,18.28
74,1.4458,1.4653,0.2122,0.0001,18.19
75,1.4449,1.4663,0.2116,0.0001,18.21
76,1.4467,1.4654,0.2110,0.0001,18.21
77,1.4454,1.4667,0.2138,0.0001,18.28
78,1.4434,1.4650,0.2137,0.0001,18.19
79,1.4383,1.4652,0.2128,0.0001,18.31
80,1.4400,1.4650,0.2136,0.0001,18.24
81,1.4413,1.4641,0.2128,0.0001,18.37
82,1.4430,1.4648,0.2146,0.0001,18.18
83,1.4403,1.4641,0.2129,0.0001,17.94
84,1.4378,1.4644,0.2111,0.0001,18.15
85,1.4377,1.4638,0.2131,0.0001,18.19
86,1.4425,1.4640,0.2115,0.0001,18.17
87,1.4392,1.4638,0.2127,0.0001,18.40
88,1.4394,1.4639,0.2139,0.0001,18.21
89,1.4402,1.4640,0.2120,0.0001,18.23
90,1.4392,1.4640,0.2120,0.0001,18.08
